biome,taxon,delta,p,n_img,q
Tropical & Subtropical Coniferous Forests,Aves,0.3242813982069492,0.0425,334,0.1098780487804878
Tropical & Subtropical Coniferous Forests,Fungi,-0.1176241785287857,0.755,26,0.9759756097560975
Tropical & Subtropical Coniferous Forests,Insecta,0.0800174893811345,0.265,265,0.44587301587301587
Tropical & Subtropical Coniferous Forests,Mammalia,-0.1677718246355652,0.81,25,1.0
Tropical & Subtropical Coniferous Forests,Plantae,-0.1850733533501625,0.87,369,1.0
Tropical & Subtropical Coniferous Forests,Reptilia,-0.2411454916000366,0.94,41,1.0
Tropical & Subtropical Dry Broadleaf Forests,Actinopterygii,-0.6707604043185711,0.9925,78,1.0
Tropical & Subtropical Dry Broadleaf Forests,Amphibia,0.1812828704714775,0.17,46,0.33999999999999997
Tropical & Subtropical Dry Broadleaf Forests,Animalia,-0.4061319632455706,0.9825,27,1.0
Tropical & Subtropical Dry Broadleaf Forests,Arachnida,0.1831466215662658,0.18,41,0.3533333333333333
Tropical & Subtropical Dry Broadleaf Forests,Aves,0.4468378610908985,0.0,588,0.0
Tropical & Subtropical Dry Broadleaf Forests,Insecta,0.1158935483545064,0.1875,579,0.3549107142857143
Tropical & Subtropical Dry Broadleaf Forests,Mammalia,0.7161907851696014,0.0,89,0.0
Tropical & Subtropical Dry Broadleaf Forests,Mollusca,-0.2558468841016292,0.9075,25,1.0
Tropical & Subtropical Dry Broadleaf Forests,Plantae,0.3318435046821832,0.005,449,0.0165625
Tropical & Subtropical Dry Broadleaf Forests,Reptilia,0.1862943172454834,0.0625,118,0.14402173913043478
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Actinopterygii,-0.4375535063445568,0.9625,36,1.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Amphibia,0.156765803694725,0.1925,102,0.3579824561403509
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Arachnida,-0.0471235252916812,0.62,68,0.8535064935064935
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Aves,1.1144280433654783,0.0,2287,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Fungi,0.0127468956634402,0.4525,23,0.6661805555555556
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Insecta,-0.0597028993070125,0.725,808,0.9727848101265822
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Mammalia,1.1593240778893232,0.0,602,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Plantae,0.0677949865348637,0.26,1050,0.4445161290322581
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Reptilia,0.3845542669296264,0.0,328,0.0
Tropical & Subtropical Moist Broadleaf Forests,Actinopterygii,0.1805187202990055,0.235,280,0.4083606557377049
Tropical & Subtropical Moist Broadleaf Forests,Amphibia,0.4624426364898681,0.0025,443,0.009464285714285715
Tropical & Subtropical Moist Broadleaf Forests,Animalia,0.2043046988546848,0.1525,144,0.3108653846153846
Tropical & Subtropical Moist Broadleaf Forests,Arachnida,0.2524990704841912,0.1125,329,0.2484375
Tropical & Subtropical Moist Broadleaf Forests,Aves,0.9139913599938154,0.0,3281,0.0
Tropical & Subtropical Moist Broadleaf Forests,Fungi,0.2677436277735978,0.0625,90,0.14402173913043478
Tropical & Subtropical Moist Broadleaf Forests,Insecta,0.0882909225765615,0.2325,3681,0.4083606557377049
Tropical & Subtropical Moist Broadleaf Forests,Mammalia,0.9561022743582726,0.0,569,0.0
Tropical & Subtropical Moist Broadleaf Forests,Mollusca,0.0208825804293155,0.4525,106,0.6661805555555556
Tropical & Subtropical Moist Broadleaf Forests,Plantae,0.240723937167786,0.045,2567,0.11357142857142856
Tropical & Subtropical Moist Broadleaf Forests,Reptilia,0.2438612282276153,0.0125,882,0.04015151515151516
Tundra,Aves,0.4115691408514976,0.0,294,0.0
Tundra,Fungi,0.0862961169332265,0.315,56,0.5136923076923077
Tundra,Insecta,-0.1624578435439616,0.9125,77,1.0
Tundra,Mammalia,0.5348457489162683,0.0,97,0.0
Tundra,Plantae,0.0935138668864965,0.31,1074,0.5134375
