word_en,class_en,word_ru,class_ru,hypernym_en,hypernym_ru
chicken,bird,курицей,животное,,
chickens,bird,куры,животное,,
chickens,bird,кур,животное,,
chickens,bird,курам,животное,,
chickens,bird,курами,животное,,
chipmunk,mammal,бурундук,животное,,
chipmunk,mammal,бурундука,животное,,
chipmunk,mammal,бурундуку,животное,,
chipmunk,mammal,бурундуком,животное,,
chipmunk,mammal,бурундуки,животное,,
chipmunk,mammal,бурундуков,животное,,
cock,bird,петух,животное,,
cock,bird,петуха,животное,,
cock,bird,петуху,животное,,
cock,bird,петухом,животное,,
cock,bird,петухе,животное,,
colts,animal,жеребята,животное,,
colts,animal,жеребят,животное,,
colts,animal,жеребятам,животное,,
colts,animal,жеребёнок,животное,,
colts,animal,жеребёнка,животное,,
cornel,tree,кизил,дерево,,
cornel,tree,кизила,дерево,,
cornel,tree,кизилу,дерево,,
cornel,tree,кизилом,дерево,,
cornel,tree,кизиле,дерево,,
cow,mammal,корова,животное,,
cow,mammal,коровы,животное,,
cow,mammal,корове,животное,,
cow,mammal,корову,животное,,
cow,mammal,коровой,животное,,
cows,mammal,коровы,животное,,
cows,mammal,коров,животное,,
cows,mammal,коровам,животное,,
cows,mammal,коровами,животное,,
coyote,mammal,койот,животное,,
coyote,mammal,койота,животное,,
coyote,mammal,койоту,животное,,
coyote,mammal,койотом,животное,,
coyote,mammal,койоты,животное,,
coyote,mammal,койотов,животное,,
crab,crustacean,краб,животное,,
crab,crustacean,краба,животное,,
crab,crustacean,крабу,животное,,
crab,crustacean,крабом,животное,,
crab,crustacean,крабы,животное,,
crab,crustacean,крабов,животное,,
crane,bird,журавль,животное,,
crane,bird,журавля,животное,,
crane,bird,журавлю,животное,,
crane,bird,журавлём,животное,,
crane,bird,журавле,животное,,
creature,animal,существо,животное,,
creature,animal,существа,животное,,
creature,animal,существу,животное,,
creature,animal,существом,животное,,
creature,animal,существе,животное,,
creatures,animal,существа,животное,,
creatures,animal,существ,животное,,
creatures,animal,существам,животное,,
creatures,animal,существами,животное,,
crocodile,reptile,крокодил,животное,,
crocodile,reptile,крокодила,животное,,
crocodile,reptile,крокодилу,животное,,
crocodile,reptile,крокодилом,животное,,
crocodile,reptile,крокодилы,животное,,
crocodile,reptile,крокодилов,животное,,
crops,plant,урожай,растение,,
crops,plant,урожая,растение,,
crops,plant,урожаю,растение,,
crops,plant,урожаем,растение,,
crops,plant,посевы,растение,,
crow,bird,ворона,животное,,
crow,bird,вороны,животное,,
crow,bird,вороне,животное,,
crow,bird,ворону,животное,,
crow,bird,вороной,животное,,
cuckoo,bird,кукушка,животное,,
cuckoo,bird,кукушки,животное,,
cuckoo,bird,кукушке,животное,,
cuckoo,bird,кукушку,животное,,
cuckoo,bird,кукушкой,животное,,
deer,mammal,олень,животное,,
deer,mammal,оленя,животное,,
deer,mammal,оленю,животное,,
deer,mammal,оленем,животное,,
deer,mammal,олене,животное,,
deer,mammal,олени,животное,,
deer,mammal,оленей,животное,,
dipper,bird,оляпка,животное,,
dipper,bird,оляпки,животное,,
dipper,bird,оляпке,животное,,
dipper,bird,оляпку,животное,,
dipper,bird,оляпкой,животное,,
doe,mammal,самка,животное,,
doe,mammal,самки,животное,,
doe,mammal,самке,животное,,
doe,mammal,самку,животное,,
doe,mammal,самкой,животное,,
dog,mammal,собака,животное,,
dog,mammal,собаки,животное,,
dog,mammal,собаке,животное,,
dog,mammal,собаку,животное,,
dog,mammal,собакой,животное,,
dog,mammal,пёс,животное,,
dog,mammal,пса,животное,,
dogs,mammal,собаки,животное,,
dogs,mammal,собак,животное,,
dogs,mammal,собакам,животное,,
dogs,mammal,собаками,животное,,
donkey,mammal,осёл,животное,,
donkey,mammal,осла,животное,,
donkey,mammal,ослу,животное,,
donkey,mammal,ослом,животное,,
donkey,mammal,осле,животное,,
dove,bird,голубь,животное,,
dove,bird,голубя,животное,,
dove,bird,голубю,животное,,
dove,bird,голубем,животное,,
dove,bird,голубе,животное,,
dragon,reptile,дракон,животное,,
dragon,reptile,дракона,животное,,
dragon,reptile,дракону,животное,,
dragon,reptile,драконом,животное,,
dragon,reptile,драконе,животное,,
dragon,reptile,драконы,животное,,
dragon,reptile,драконов,животное,,
duck,bird,утка,животное,,
duck,bird,утки,животное,,
duck,bird,утке,животное,,
duck,bird,утку,животное,,
duck,bird,уткой,животное,,
ducks,bird,утки,животное,,
ducks,bird,уток,животное,,
ducks,bird,уткам,животное,,
ducks,bird,утками,животное,,
eagles,bird,орлы,животное,,
eagles,bird,орлов,животное,,
eagles,bird,орлам,животное,,
eagles,bird,орлами,животное,,
eagles,bird,орёл,животное,,
eagles,bird,орла,животное,,
eel,fish,угорь,животное,,
eel,fish,угря,животное,,
eel,fish,угрю,животное,,
eel,fish,угрём,животное,,
eel,fish,угре,животное,,
elder,plant,бузина,растение,,
elder,plant,бузины,растение,,
elder,plant,бузине,растение,,
elder,plant,бузину,растение,,
elder,plant,бузиной,растение,,
elephant,mammal,слон,животное,,
elephant,mammal,слона,животное,,
elephant,mammal,слону,животное,,
elephant,mammal,слоном,животное,,
elephant,mammal,слоне,животное,,
elk,mammal,лось,животное,,
elk,mammal,лося,животное,,
elk,mammal,лосю,животное,,
elk,mammal,лосем,животное,,
elk,mammal,лосе,животное,,
embryos,plant,зародыш,растение,,
embryos,plant,зародыша,растение,,
embryos,plant,зародышу,растение,,
embryos,plant,зародыши,растение,,
embryos,plant,зародышей,растение,,
feline,mammal,кошачий,животное,,
feline,mammal,кошачьего,животное,,
feline,mammal,кошачьи,животное,,
feline,mammal,кошачьих,животное,,
female,animal,самка,животное,,
female,animal,самки,животное,,
female,animal,самке,животное,,
female,animal,самку,животное,,
female,animal,самкой,животное,,
females,animal,самки,животное,,
females,animal,самок,животное,,
females,animal,самкам,животное,,
females,animal,самками,животное,,
fishes,fish,рыбы,животное,,
fishes,fish,рыб,животное,,
fishes,fish,рыбам,животное,,
fishes,fish,рыбами,животное,,
fishes,fish,рыба,животное,,
fishes,fish,рыбу,животное,,
flea,insect,блоха,животное,,
flea,insect,блохи,животное,,
flea,insect,блохе,животное,,
flea,insect,блоху,животное,,
flea,insect,блохой,животное,,
fleas,insect,блохи,животное,,
fleas,insect,блох,животное,,
fleas,insect,блохам,животное,,
fleas,insect,блохами,животное,,
flies,insect,мухи,животное,,
flies,insect,мух,животное,,
flies,insect,мухам,животное,,
flies,insect,мухами,животное,,
flowers,flower,цветы,цветок,,
flowers,flower,цветов,цветок,,
flowers,flower,цветам,цветок,,
flowers,flower,цветами,цветок,,
flowers,flower,цветах,цветок,,
fly,insect,муха,животное,,
fly,insect,мухи,животное,,
fly,insect,мухе,животное,,
fly,insect,муху,животное,,
fly,insect,мухой,животное,,
fox,mammal,лиса,животное,,
fox,mammal,лисы,животное,,
fox,mammal,лисе,животное,,
fox,mammal,лису,животное,,
fox,mammal,лисой,животное,,
fox,mammal,лисица,животное,,
fox,mammal,лисицы,животное,,
foxes,mammal,лисы,животное,,
foxes,mammal,лис,животное,,
foxes,mammal,лисам,животное,,
foxes,mammal,лисами,животное,,
frog,amphibian,лягушка,животное,,
frog,amphibian,лягушки,животное,,
frog,amphibian,лягушке,животное,,
frog,amphibian,лягушку,животное,,
frog,amphibian,лягушкой,животное,,
frogs,amphibian,лягушки,животное,,
frogs,amphibian,лягушек,животное,,
frogs,amphibian,лягушкам,животное,,
frogs,amphibian,лягушками,животное,,
geese,bird,гуси,животное,,
geese,bird,гусей,животное,,
geese,bird,гусям,животное,,
geese,bird,гусями,животное,,
giant,animal,великан,животное,,
giant,animal,великана,животное,,
giant,animal,великану,животное,,
giant,animal,великаном,животное,,
giant,animal,великане,животное,,
giants,animal,великаны,животное,,
giants,animal,великанов,животное,,
giants,animal,великанам,животное,,
giants,animal,великанами,животное,,
goat,mammal,коза,животное,,
goat,mammal,козы,животное,,
goat,mammal,козе,животное,,
goat,mammal,козу,животное,,
goat,mammal,козой,животное,,
goat,mammal,козёл,животное,,
goat,mammal,козла,животное,,
goose,bird,гусь,животное,,
goose,bird,гуся,животное,,
goose,bird,гусю,животное,,
goose,bird,гусем,животное,,
goose,bird,гусе,животное,,
gourd,plant,тыква,растение,,
gourd,plant,тыквы,растение,,
gourd,plant,тыкве,растение,,
gourd,plant,тыкву,растение,,
gourd,plant,тыквой,растение,,
grass,plant,трава,растение,,
grass,plant,травы,растение,,
grass,plant,траве,растение,,
grass,plant,траву,растение,,
grass,plant,травой,растение,,
grasshopper,insect,кузнечик,животное,,
grasshopper,insect,кузнечика,животное,,
grasshopper,insect,кузнечику,животное,,
grasshopper,insect,кузнечиком,животное,,
grasshopper,insect,кузнечики,животное,,
grasshopper,insect,кузнечиков,животное,,
grouse,bird,тетерев,животное,,
grouse,bird,тетерева,животное,,
grouse,bird,тетереву,животное,,
grouse,bird,тетеревом,животное,,
grouse,bird,тетереве,животное,,
hare,mammal,заяц,животное,,
hare,mammal,зайца,животное,,
hare,mammal,зайцу,животное,,
hare,mammal,зайцем,животное,,
hare,mammal,зайце,животное,,
hawk,bird,ястреб,животное,,
hawk,bird,ястреба,животное,,
hawk,bird,ястребу,животное,,
hawk,bird,ястребом,животное,,
hawk,bird,ястребе,животное,,
hedgehog,mammal,ёж,животное,,
hedgehog,mammal,ежа,животное,,
hedgehog,mammal,ежу,животное,,
hedgehog,mammal,ежом,животное,,
hedgehog,mammal,еже,животное,,
hen,bird,курица,животное,,
hen,bird,курицы,животное,,
hen,bird,курице,животное,,
hen,bird,курицу,животное,,
hen,bird,курицей,животное,,
heron,bird,цапля,животное,,
heron,bird,цапли,животное,,
heron,bird,цапле,животное,,
heron,bird,цаплю,животное,,
heron,bird,цаплей,животное,,
horse,mammal,лошадь,животное,,
horse,mammal,лошади,животное,,
horse,mammal,лошадью,животное,,
horse,mammal,конь,животное,,
horse,mammal,коня,животное,,
horse,mammal,коню,животное,,
horse,mammal,конём,животное,,
horses,mammal,лошади,животное,,
horses,mammal,лошадей,животное,,
horses,mammal,лошадям,животное,,
horses,mammal,лошадями,животное,,
horses,mammal,кони,животное,,
horses,mammal,коней,животное,,
human,mammal,человек,животное,,
human,mammal,человека,животное,,
human,mammal,человеку,животное,,
human,mammal,человеком,животное,,
human,mammal,человеке,животное,,
humanity,mammal,человечество,животное,,
humanity,mammal,человечества,животное,,
humanity,mammal,человечеству,животное,,
humanity,mammal,человечеством,животное,,
humans,mammal,люди,животное,,
humans,mammal,людей,животное,,
humans,mammal,людям,животное,,
humans,mammal,людьми,животное,,
hyena,mammal,гиена,животное,,
hyena,mammal,гиены,животное,,
hyena,mammal,гиене,животное,,
hyena,mammal,гиену,животное,,
hyena,mammal,гиеной,животное,,
insects,insect,насекомые,животное,,
insects,insect,насекомых,животное,,
insects,insect,насекомым,животное,,
insects,insect,насекомыми,животное,,
jackal,mammal,шакал,животное,,
jackal,mammal,шакала,животное,,
jackal,mammal,шакалу,животное,,
jackal,mammal,шакалом,животное,,
jackal,mammal,шакалы,животное,,
jackal,mammal,шакалов,животное,,
jaguar,mammal,ягуар,животное,,
jaguar,mammal,ягуара,животное,,
jaguar,mammal,ягуару,животное,,
jaguar,mammal,ягуаром,животное,,
jaguar,mammal,ягуары,животное,,
jaguar,mammal,ягуаров,животное,,
kids,mammal,козлята,животное,,
kids,mammal,козлят,животное,,
kids,mammal,козлёнок,животное,,
kids,mammal,козлёнка,животное,,
leopard,mammal,леопард,животное,,
leopard,mammal,леопарда,животное,,
leopard,mammal,леопарду,животное,,
leopard,mammal,леопардом,животное,,
leopard,mammal,леопарды,животное,,
leopard,mammal,леопардов,животное,,
lice,insect,вши,животное,,
lice,insect,вшей,животное,,
lice,insect,вшам,животное,,
lice,insect,вшами,животное,,
lion,mammal,лев,животное,,
lion,mammal,льва,животное,,
lion,mammal,льву,животное,,
lion,mammal,львом,животное,,
lion,mammal,льве,животное,,
lizard,reptile,ящерица,животное,,
lizard,reptile,ящерицы,животное,,
lizard,reptile,ящерице,животное,,
lizard,reptile,ящерицу,животное,,
lizard,reptile,ящерицей,животное,,
loon,bird,гагара,животное,,
loon,bird,гагары,животное,,
loon,bird,гагаре,животное,,
loon,bird,гагару,животное,,
loon,bird,гагарой,животное,,
louse,insect,вошь,животное,,
louse,insect,вши,животное,,
louse,insect,вошью,животное,,
louse,insect,вшей,животное,,
male,animal,самец,животное,,
male,animal,самца,животное,,
male,animal,самцу,животное,,
male,animal,самцом,животное,,
male,animal,самце,животное,,
males,animal,самцы,животное,,
males,animal,самцов,животное,,
males,animal,самцам,животное,,
males,animal,самцами,животное,,
mammals,mammal,млекопитающие,животное,,
mammals,mammal,млекопитающих,животное,,
mammals,mammal,млекопитающим,животное,,
mammals,mammal,млекопитающими,животное,,
man,mammal,мужчина,животное,,
man,mammal,мужчины,животное,,
man,mammal,мужчине,животное,,
man,mammal,мужчину,животное,,
man,mammal,мужчиной,животное,,
mare,mammal,кобыла,животное,,
mare,mammal,кобылы,животное,,
mare,mammal,кобыле,животное,,
mare,mammal,кобылу,животное,,
mare,mammal,кобылой,животное,,
melon,plant,дыня,растение,,
melon,plant,дыни,растение,,
melon,plant,дыне,растение,,
melon,plant,дыню,растение,,
melon,plant,дыней,растение,,
men,mammal,мужчины,животное,,
men,mammal,мужчин,животное,,
men,mammal,мужчинам,животное,,
men,mammal,мужчинами,животное,,
mice,mammal,мыши,животное,,
mice,mammal,мышей,животное,,
mice,mammal,мышам,животное,,
mice,mammal,мышами,животное,,
mole,mammal,крот,животное,,
mole,mammal,крота,животное,,
mole,mammal,кроту,животное,,
mole,mammal,кротом,животное,,
mole,mammal,кроте,животное,,
monkey,mammal,обезьяна,животное,,
monkey,mammal,обезьяны,животное,,
monkey,mammal,обезьяне,животное,,
monkey,mammal,обезьяну,животное,,
monkey,mammal,обезьяной,животное,,
monster,animal,чудовище,животное,,
monster,animal,чудовища,животное,,
monster,animal,чудовищу,животное,,
monster,animal,чудовищем,животное,,
monster,animal,монстр,животное,,
monster,animal,монстра,животное,,
monsters,animal,чудовища,животное,,
monsters,animal,чудовищ,животное,,
monsters,animal,чудовищам,животное,,
monsters,animal,чудовищами,животное,,
monsters,animal,монстры,животное,,
mosquitoes,insect,комары,животное,,
mosquitoes,insect,комаров,животное,,
mosquitoes,insect,комарам,животное,,
mosquitoes,insect,комарами,животное,,
mosquitoes,insect,комар,животное,,
mosquitoes,insect,комара,животное,,
mouse,mammal,мышь,животное,,
mouse,mammal,мыши,животное,,
mouse,mammal,мышью,животное,,
mouse,mammal,мышей,животное,,
nestling,animal,птенец,животное,,
nestling,animal,птенца,животное,,
nestling,animal,птенцу,животное,,
nestling,animal,птенцом,животное,,
nestling,animal,птенце,животное,,
nestlings,animal,птенцы,животное,,
nestlings,animal,птенцов,животное,,
nestlings,animal,птенцам,животное,,
nestlings,animal,птенцами,животное,,
opossum,mammal,опоссум,животное,,
opossum,mammal,опоссума,животное,,
opossum,mammal,опоссуму,животное,,
opossum,mammal,опоссумом,животное,,
opossum,mammal,опоссумы,животное,,
opossum,mammal,опоссумов,животное,,
owl,bird,сова,животное,,
owl,bird,совы,животное,,
owl,bird,сове,животное,,
owl,bird,сову,животное,,
owl,bird,совой,животное,,
oyster,mollusk,устрица,животное,,
oyster,mollusk,устрицы,животное,,
oyster,mollusk,устрице,животное,,
oyster,mollusk,устрицу,животное,,
oyster,mollusk,устрицей,животное,,
palm,tree,пальма,дерево,,
palm,tree,пальмы,дерево,,
palm,tree,пальме,дерево,,
palm,tree,пальму,дерево,,
palm,tree,пальмой,дерево,,
parakeet,bird,попугайчик,животное,,
parakeet,bird,попугайчика,животное,,
parakeet,bird,попугайчику,животное,,
parakeet,bird,попугайчиком,животное,,
parakeet,bird,попугайчики,животное,,
parrot,bird,попугай,животное,,
parrot,bird,попугая,животное,,
parrot,bird,попугаю,животное,,
parrot,bird,попугаем,животное,,
parrot,bird,попугае,животное,,
partridge,bird,куропатка,животное,,
partridge,bird,куропатки,животное,,
partridge,bird,куропатке,животное,,
partridge,bird,куропатку,животное,,
partridge,bird,куропаткой,животное,,
pet,animal,питомец,животное,,
pet,animal,питомца,животное,,
pet,animal,питомцу,животное,,
pet,animal,питомцем,животное,,
pet,animal,питомце,животное,,
pets,animal,питомцы,животное,,
pets,animal,питомцев,животное,,
pets,animal,питомцам,животное,,
pets,animal,питомцами,животное,,
pig,mammal,свинья,животное,,
pig,mammal,свиньи,животное,,
pig,mammal,свинье,животное,,
pig,mammal,свинью,животное,,
pig,mammal,свиньёй,животное,,
pigs,mammal,свиньи,животное,,
pigs,mammal,свиней,животное,,
pigs,mammal,свиньям,животное,,
pigs,mammal,свиньями,животное,,
pike,fish,щука,животное,,
pike,fish,щуки,животное,,
pike,fish,щуке,животное,,
pike,fish,щуку,животное,,
pike,fish,щукой,животное,,
plants,plant,растения,растение,,
plants,plant,растений,растение,,
plants,plant,растениям,растение,,
plants,plant,растениями,растение,,
porcupine,mammal,дикобраз,животное,,
porcupine,mammal,дикобраза,животное,,
porcupine,mammal,дикобразу,животное,,
porcupine,mammal,дикобразом,животное,,
porcupine,mammal,дикобразы,животное,,
porcupine,mammal,дикобразов,животное,,
predator,animal,хищник,животное,,
predator,animal,хищника,животное,,
predator,animal,хищнику,животное,,
predator,animal,хищником,животное,,
predator,animal,хищнике,животное,,
predators,animal,хищники,животное,,
predators,animal,хищников,животное,,
predators,animal,хищникам,животное,,
predators,animal,хищниками,животное,,
prey,animal,добыча,животное,,
prey,animal,добычи,животное,,
prey,animal,добыче,животное,,
prey,animal,добычу,животное,,
prey,animal,добычей,животное,,
puma,mammal,пума,животное,,
puma,mammal,пумы,животное,,
puma,mammal,пуме,животное,,
puma,mammal,пуму,животное,,
puma,mammal,пумой,животное,,
pumpkin,plant,тыква,растение,,
pumpkin,plant,тыквы,растение,,
pumpkin,plant,тыкве,растение,,
pumpkin,plant,тыкву,растение,,
pumpkin,plant,тыквой,растение,,
pup,animal,щенок,животное,,
pup,animal,щенка,животное,,
pup,animal,щенку,животное,,
pup,animal,щенком,животное,,
pup,animal,щенке,животное,,
puppies,mammal,щенки,животное,,
puppies,mammal,щенков,животное,,
puppies,mammal,щенкам,животное,,
puppies,mammal,щенками,животное,,
puppy,mammal,щенок,животное,,
puppy,mammal,щенка,животное,,
puppy,mammal,щенку,животное,,
puppy,mammal,щенком,животное,,
puppy,mammal,щенке,животное,,
queen,insect,матка,животное,,
queen,insect,матки,животное,,
queen,insect,матке,животное,,
queen,insect,матку,животное,,
queen,insect,маткой,животное,,
rabbit,mammal,кролик,животное,,
rabbit,mammal,кролика,животное,,
rabbit,mammal,кролику,животное,,
rabbit,mammal,кроликом,животное,,
rabbit,mammal,кролике,животное,,
racoon,mammal,енот,животное,,
racoon,mammal,енота,животное,,
racoon,mammal,еноту,животное,,
racoon,mammal,енотом,животное,,
racoon,mammal,еноты,животное,,
racoon,mammal,енотов,животное,,
ram,mammal,баран,животное,,
ram,mammal,барана,животное,,
ram,mammal,барану,животное,,
ram,mammal,бараном,животное,,
ram,mammal,баране,животное,,
rams,mammal,бараны,животное,,
rams,mammal,баранов,животное,,
rams,mammal,баранам,животное,,
rams,mammal,баранами,животное,,
rat,mammal,крыса,животное,,
rat,mammal,крысы,животное,,
rat,mammal,крысе,животное,,
rat,mammal,крысу,животное,,
rat,mammal,крысой,животное,,
raven,bird,ворон,животное,,
raven,bird,ворона,животное,,
raven,bird,ворону,животное,,
raven,bird,вороном,животное,,
raven,bird,вороне,животное,,
reed,plant,тростник,растение,,
reed,plant,тростника,растение,,
reed,plant,тростнику,растение,,
reed,plant,тростником,растение,,
reed,plant,тростнике,растение,,
reeds,plant,тростники,растение,,
reeds,plant,тростников,растение,,
reeds,plant,камыши,растение,,
reeds,plant,камышей,растение,,
reptiles,reptile,рептилии,животное,,
reptiles,reptile,рептилий,животное,,
reptiles,reptile,рептилиям,животное,,
reptiles,reptile,рептилиями,животное,,
rhea,bird,нанду,животное,,
rose,plant,роза,растение,,
rose,plant,розы,растение,,
rose,plant,розе,растение,,
rose,plant,розу,растение,,
rose,plant,розой,растение,,
rushes,plant,камыш,растение,,
rushes,plant,камыша,растение,,
rushes,plant,камышу,растение,,
rushes,plant,камышом,растение,,
rushes,plant,камыше,растение,,
serpent,reptile,змей,животное,,
serpent,reptile,змея,животное,,
serpent,reptile,змею,животное,,
serpent,reptile,змеем,животное,,
serpent,reptile,змее,животное,,
sheep,mammal,овца,животное,,
sheep,mammal,овцы,животное,,
sheep,mammal,овце,животное,,
sheep,mammal,овцу,животное,,
sheep,mammal,овцой,животное,,
skunk,mammal,скунс,животное,,
skunk,mammal,скунса,животное,,
skunk,mammal,скунсу,животное,,
skunk,mammal,скунсом,животное,,
skunk,mammal,скунсы,животное,,
skunk,mammal,скунсов,животное,,
snail,mollusk,улитка,животное,,
snail,mollusk,улитки,животное,,
snail,mollusk,улитке,животное,,
snail,mollusk,улитку,животное,,
snail,mollusk,улиткой,животное,,
snake,reptile,змея,животное,,
snake,reptile,змеи,животное,,
snake,reptile,змее,животное,,
snake,reptile,змею,животное,,
snake,reptile,змеёй,животное,,
snakes,reptile,змеи,животное,,
snakes,reptile,змей,животное,,
snakes,reptile,змеям,животное,,
snakes,reptile,змеями,животное,,
spider,arachnid,паук,животное,,
spider,arachnid,паука,животное,,
spider,arachnid,пауку,животное,,
spider,arachnid,пауком,животное,,
spider,arachnid,пауке,животное,,
squirrel,mammal,белка,животное,,
squirrel,mammal,белки,животное,,
squirrel,mammal,белке,животное,,
squirrel,mammal,белку,животное,,
