species_residue,place_residue,biome_word,generic_landform,activity,motif_id,text_chars
False,False,False,False,True,f82a,2212
False,False,False,True,True,b33c,12357
False,False,False,True,True,i35a,4809
False,False,False,True,True,b15,4886
False,False,False,True,True,m106c,12456
False,False,False,True,True,l72d,13955
False,False,False,False,False,m29u,606
False,False,False,True,True,c5b,13615
False,False,False,True,True,m39f,13869
False,False,False,True,True,b52b,13689
False,False,False,True,True,h9b,6037
False,False,False,True,True,h21a,13230
False,False,False,True,False,k1d,1346
False,False,False,True,True,m120,13598
False,False,False,True,True,l7a,13010
False,False,False,True,True,j53,15852
False,False,False,True,False,f5a,8665
False,False,False,True,True,k85a,14925
False,False,False,True,True,e9i,13486
False,False,False,True,True,m81c,13161
False,False,False,True,True,m117,3385
False,False,False,True,True,g14,3131
False,False,False,False,True,k48a,1829
False,False,False,True,True,k32i,13849
False,False,False,False,False,i59b2,1291
False,False,False,True,True,k127a,14328
False,False,False,True,True,k42,13227
False,False,False,True,True,a12d,7602
False,False,False,True,True,k19b,12531
False,False,False,True,True,l116a,14479
False,False,False,False,True,l100d1,9774
False,False,False,False,True,b49b,2629
False,False,False,True,True,m14a,11223
False,False,False,True,True,j62,14216
False,False,False,True,True,k56a4a,14270
False,False,False,True,True,k51,13526
False,False,False,False,True,m196,13701
False,False,False,True,True,e37,13389
False,False,False,True,True,h32a,13362
False,False,False,True,True,l65a,13524
False,False,False,True,True,l81a1,7903
False,False,False,True,True,a17,13170
False,False,False,True,True,m136,14366
False,False,False,True,True,i87a2,13058
False,False,False,True,True,k27z4,14544
False,False,False,True,True,j28a,13844
False,False,False,True,True,m5,13637
False,False,False,True,True,j28b,15363
False,False,False,False,True,i82e,1609
False,False,False,True,True,d1a,3899
False,False,False,True,True,j66,13922
False,False,False,True,False,i64a,678
False,False,False,True,True,k8b,7148
False,False,False,True,True,l15d,14674
False,False,False,True,True,d4g,2501
False,False,False,True,True,b32,6762
False,False,False,True,True,g28,13107
False,False,False,True,True,e31,10851
False,False,False,True,True,m39e1,13884
False,False,False,True,True,m39a4b,13706
False,False,False,True,True,j22b,13879
False,False,False,True,True,f28d,7516
False,False,False,True,False,m132,3587
False,False,False,True,True,k56,15146
False,False,False,True,True,l118,13834
False,False,False,True,True,l102,13700
False,False,False,False,True,i76b,1350
False,False,False,True,True,n26,2361
False,False,False,True,False,k10d,7638
False,False,False,True,True,l12,5068
False,False,False,True,True,l85,12998
False,False,False,True,True,a31,14206
False,False,False,True,True,m31,6952
False,False,False,True,True,k81,14093
False,False,False,True,True,m144a,11392
False,False,False,True,True,l42b,13711
False,False,False,True,True,m83b,13695
False,False,False,True,True,l100,14867
False,False,False,True,True,m114f,12498
False,False,False,True,True,a32dd,12371
False,False,False,True,True,k25a5,16050
False,False,False,True,True,m199c1,13975
False,False,False,True,True,e35,14269
False,False,False,True,True,m141a,7197
False,False,False,True,True,f62,13684
False,False,False,False,True,k27b,159
False,False,False,True,True,k10f,13320
False,False,False,True,True,k40,14999
False,False,False,True,True,m91c2,13966
False,False,False,True,True,m130c,9670
False,False,False,True,True,k38b3,13939
False,False,False,True,True,m39a1,14523
True,False,False,True,True,b42h,14323
False,False,False,True,True,i46,12736
False,False,False,True,True,d12a,2385
False,False,False,True,True,i15,13751
False,False,False,True,True,m116a,13974
False,False,False,True,True,k66b,15520
False,False,False,True,True,b30b,11608
False,False,False,True,True,m109a1,15098
False,False,False,True,True,j25a,13714
False,False,False,True,True,i41b1,5232
False,False,False,True,True,l28a,13245
False,False,False,True,False,m8b,1022
False,False,False,True,True,k27k,7195
False,False,False,True,True,l6a,13824
False,False,False,True,True,f21,2172
False,False,False,True,True,k38b2,9492
False,False,False,True,True,m26,5587
