motif_id,term,n_mentions,category,biome_hint
b10,стрела,1,artefact,generic
b10,индонезии,1,region,Trop. Moist
b10,лук,2,artefact,"generic, ambiguous (also = onion)"
b10,гарпун,1,artefact,Arctic/coastal — harpoon
b100,маниока,1,artefact,Trop. Moist — manioc
b107,лук,1,artefact,"generic, ambiguous (also = onion)"
b110,лук,1,artefact,"generic, ambiguous (also = onion)"
b110,северная,1,direction,Northern
b110,стрела,1,artefact,generic
b110,якутии,1,region,Boreal/Tundra
b113,северный,2,direction,Northern
b113,южный,3,direction,Southern
b115,северный,1,direction,Northern
b115,сибирский,1,region,Tundra/Boreal
b116,кавказ,1,mountain,Mediterranean/Mountain
b116,алтая,1,mountain,Mountain/Steppe
b116,алтай,1,mountain,Mountain/Steppe
b116,якутии,1,region,Boreal/Tundra
b116b,алтая,1,mountain,Mountain/Steppe
b11a,лук,1,artefact,"generic, ambiguous (also = onion)"
b13a,стрела,2,artefact,generic
b13a,южный,1,direction,Southern
b14,маниока,2,artefact,Trop. Moist — manioc
b16a,стрела,1,artefact,generic
b17,лук,1,artefact,"generic, ambiguous (also = onion)"
b17,ямс,1,artefact,Trop. Moist — yam
b17,маниока,2,artefact,Trop. Moist — manioc
b17,стрела,1,artefact,generic
b18,аляски,1,region,Tundra/Boreal
b19,лук,1,artefact,"generic, ambiguous (also = onion)"
b19,стрела,1,artefact,generic
b19,ямса,1,artefact,Trop. Moist
b19,маниока,1,artefact,Trop. Moist — manioc
b1a,южный,1,direction,Southern
b23,стрела,1,artefact,generic
b26,аляски,1,region,Tundra/Boreal
b26,лук,1,artefact,"generic, ambiguous (also = onion)"
b27,аляски,1,region,Tundra/Boreal
b27,ямс,1,artefact,Trop. Moist — yam
b27,маниока,1,artefact,Trop. Moist — manioc
b28,сибирские,1,region,Tundra/Boreal
b28,аляски,1,region,Tundra/Boreal
b28,лук,2,artefact,"generic, ambiguous (also = onion)"
b28,южный,1,direction,Southern
b28,северного,2,direction,Northern
b28,маниока,4,artefact,Trop. Moist — manioc
b28,маис,1,artefact,Trop./Temp. — maize
b28a,маниока,1,artefact,Trop. Moist — manioc
b28b,северного,2,direction,Northern
b28d,лук,1,artefact,"generic, ambiguous (also = onion)"
b28d,северного,2,direction,Northern
b28d1,лук,1,artefact,"generic, ambiguous (also = onion)"
b28e,лук,1,artefact,"generic, ambiguous (also = onion)"
b29,ямс,1,artefact,Trop. Moist — yam
b29,аляски,1,region,Tundra/Boreal
b2a,азии,1,continent,?
b2a,индонезии,1,region,Trop. Moist
b2a,стрела,4,artefact,generic
b2a,лук,3,artefact,"generic, ambiguous (also = onion)"
b2a,маис,2,artefact,Trop./Temp. — maize
b2a,северный,1,direction,Northern
b2a,южный,1,direction,Southern
b2a,маниока,1,artefact,Trop. Moist — manioc
b2a,ямс,2,artefact,Trop. Moist — yam
b2d,ямс,1,artefact,Trop. Moist — yam
b2d,стрела,4,artefact,generic
b2d,лук,2,artefact,"generic, ambiguous (also = onion)"
b2e,стрела,1,artefact,generic
b3,ямс,1,artefact,Trop. Moist — yam
b30a,ямс,2,artefact,Trop. Moist — yam
b30a,гарпун,1,artefact,Arctic/coastal — harpoon
b31,аляски,1,region,Tundra/Boreal
b31,ямс,1,artefact,Trop. Moist — yam
b32,стрела,1,artefact,generic
b33,северный,2,direction,Northern
b33a,северный,1,direction,Northern
b33a,нарты,1,artefact,Tundra/Boreal — sledge pl
b33a1,северный,1,direction,Northern
b33c,северный,1,direction,Northern
b33d,северный,1,direction,Northern
b33f,лук,1,artefact,"generic, ambiguous (also = onion)"
b36,океании,1,region,Trop. Moist (Pacific)
b36,стрела,1,artefact,generic
b36,маниока,2,artefact,Trop. Moist — manioc
b36,маис,1,artefact,Trop./Temp. — maize
b36a,азии,1,continent,?
b36a,аляски,1,region,Tundra/Boreal
b37,стрела,1,artefact,generic
b38,азии,1,continent,?
b38,аляски,1,region,Tundra/Boreal
b38b,азии,1,continent,?
b38c,аляски,1,region,Tundra/Boreal
b38c,гренландии,1,region,Tundra
b39,северная,1,direction,Northern
b3a,лук,6,artefact,"generic, ambiguous (also = onion)"
b3a,северный,2,direction,Northern
b3a,южный,2,direction,Southern
b3a,ямса,1,artefact,Trop. Moist
b3a,микронезии,1,region,Trop. Moist (Pacific)
b3a,полинезии,1,region,Trop. Moist (Pacific)
b3a,гималаи,2,mountain,Mountain
b3a,гималаев,2,mountain,Mountain
b3a,кавказа,3,mountain,Mediterranean/Mountain
b3a,полярная,1,climate,Arctic
b3a,алтай,1,mountain,Mountain/Steppe
b3a,стрела,3,artefact,generic
b3a,нарты,1,artefact,Tundra/Boreal — sledge pl
b3a,якутии,1,region,Boreal/Tundra
b3a,амур,1,river,Boreal
b3a,аляски,1,region,Tundra/Boreal
b3a,гарпун,3,artefact,Arctic/coastal — harpoon
b3a,аляска,1,region,Tundra/Boreal
b3b,стрела,1,artefact,generic
b3b,лук,2,artefact,"generic, ambiguous (also = onion)"
b3b,аляски,1,region,Tundra/Boreal
b3b,гарпун,1,artefact,Arctic/coastal — harpoon
b3b,маниока,1,artefact,Trop. Moist — manioc
b3d,ямс,1,artefact,Trop. Moist — yam
b3e,ямс,1,artefact,Trop. Moist — yam
b3e,ямса,1,artefact,Trop. Moist
b3e,южный,1,direction,Southern
b3e,северный,1,direction,Northern
b3e,якутии,1,region,Boreal/Tundra
b3e,амур,1,river,Boreal
b4,микронезии,1,region,Trop. Moist (Pacific)
b4,гарпуна,2,artefact,Arctic/coastal
b4,гарпун,4,artefact,Arctic/coastal — harpoon
b4,аляски,1,region,Tundra/Boreal
b40a,северного,1,direction,Northern
b41,ямс,1,artefact,Trop. Moist — yam
b41,ямса,1,artefact,Trop. Moist
b41,лук,1,artefact,"generic, ambiguous (also = onion)"
b41a,ямс,1,artefact,Trop. Moist — yam
b41a,ямса,1,artefact,Trop. Moist
b42,стрела,37,artefact,generic
b42,лук,9,artefact,"generic, ambiguous (also = onion)"
b42,ямса,1,artefact,Trop. Moist
b42,ямс,1,artefact,Trop. Moist — yam
b42,северная,2,direction,Northern
b42,полярная,5,climate,Arctic
b42,енисея,2,river,Boreal
b42,амура,1,river,Boreal
b42,северного,1,direction,Northern
b42,аляски,1,region,Tundra/Boreal
b42,нарте,2,artefact,Tundra/Boreal
b42,гренландии,2,region,Tundra
b42,южный,3,direction,Southern
b42b,стрела,5,artefact,generic
b42b,северная,1,direction,Northern
b42b,лук,5,artefact,"generic, ambiguous (also = onion)"
b42b,енисея,1,river,Boreal
b42b,полярная,2,climate,Arctic
b42c,полярная,1,climate,Arctic
b42c,аляски,1,region,Tundra/Boreal
b42e,южный,1,direction,Southern
b42f,полярная,5,climate,Arctic
b42f,сибири,1,region,Tundra/Boreal
b42f,северный,4,direction,Northern
b42f,аляски,2,region,Tundra/Boreal
b42f,гренландии,1,region,Tundra
b42h,стрела,31,artefact,generic
b42h,полярная,1,climate,Arctic
b42h,енисея,1,river,Boreal
b42h1,стрела,29,artefact,generic
b42h1,полярная,1,climate,Arctic
b42i,лук,3,artefact,"generic, ambiguous (also = onion)"
b42i,северного,1,direction,Northern
b42k,лук,2,artefact,"generic, ambiguous (also = onion)"
b42k,ямса,1,artefact,Trop. Moist
b42k,ямс,1,artefact,Trop. Moist — yam
b42k,стрела,1,artefact,generic
b42k,аляски,1,region,Tundra/Boreal
b42k,нарте,2,artefact,Tundra/Boreal
b42k,гренландия,1,region,Tundra
b42l,полярная,2,climate,Arctic
b42m,стрела,1,artefact,generic
b42m,енисея,1,river,Boreal
b42m,лук,1,artefact,"generic, ambiguous (also = onion)"
b42m1,стрела,1,artefact,generic
b42m1,полярная,2,climate,Arctic
b42m2,стрела,1,artefact,generic
b42m2,енисея,1,river,Boreal
b42mn,лук,5,artefact,"generic, ambiguous (also = onion)"
b42mn,стрела,3,artefact,generic
b42n,лук,6,artefact,"generic, ambiguous (also = onion)"
b42n,ямса,1,artefact,Trop. Moist
b42n,ямс,1,artefact,Trop. Moist — yam
b42n,австралия,1,region,Desert/Savanna (Aus)
b42n,стрела,3,artefact,generic
b42n,северного,1,direction,Northern
b42o,стрела,4,artefact,generic
b42o1,стрела,2,artefact,generic
b42p,полярная,1,climate,Arctic
b42q,северный,1,direction,Northern
b42s,стрела,5,artefact,generic
b42t,полярная,3,climate,Arctic
b42t,южный,1,direction,Southern
b42t,сибири,1,region,Tundra/Boreal
b42t,аляски,2,region,Tundra/Boreal
b42t,северный,2,direction,Northern
b42t,гренландии,1,region,Tundra
b43,лук,5,artefact,"generic, ambiguous (also = onion)"
b43,северный,2,direction,Northern
b43,северное,1,direction,Northern
b43,южное,2,direction,Southern
b43,нарты,2,artefact,Tundra/Boreal — sledge pl
b43,южный,1,direction,Southern
b43,анды,2,mountain,Mountain
b44a,южный,1,direction,Southern
b44a,лук,2,artefact,"generic, ambiguous (also = onion)"
b44c,аляски,1,region,Tundra/Boreal
b44c,маниока,1,artefact,Trop. Moist — manioc
b44e,аляски,1,region,Tundra/Boreal
b44e,маниока,1,artefact,Trop. Moist — manioc
b45,северный,9,direction,Northern
b45,северного,6,direction,Northern
b45,южный,5,direction,Southern
b45b,северный,1,direction,Northern
b45b,южный,1,direction,Southern
b46,полярная,8,climate,Arctic
b46,нарты,2,artefact,Tundra/Boreal — sledge pl
b46,стрела,4,artefact,generic
b46a1,полярная,3,climate,Arctic
b46c,полярная,7,climate,Arctic
b46c,нарты,1,artefact,Tundra/Boreal — sledge pl
b46c,стрела,4,artefact,generic
b46d,полярная,1,climate,Arctic
b46d,стрела,2,artefact,generic
b47,австралии,1,region,Desert/Savanna (Aus)
b48,северного,1,direction,Northern
b48,аляски,1,region,Tundra/Boreal
b48,лук,1,artefact,"generic, ambiguous (also = onion)"
b48a,карелии,1,region,Boreal
b48a,северного,1,direction,Northern
b48a,алтая,1,mountain,Mountain/Steppe
b48a,сибири,1,region,Tundra/Boreal
b48b,стрела,3,artefact,generic
b48c,нарты,2,artefact,Tundra/Boreal — sledge pl
b49,ямс,4,artefact,Trop. Moist — yam
b49,лук,1,artefact,"generic, ambiguous (also = onion)"
b49,маниока,2,artefact,Trop. Moist — manioc
b49a,ямс,4,artefact,Trop. Moist — yam
b52a,лук,1,artefact,"generic, ambiguous (also = onion)"
b52b,якутии,1,region,Boreal/Tundra
b54,аляски,1,region,Tundra/Boreal
b54,гарпун,1,artefact,Arctic/coastal — harpoon
b54,гарпуном,1,artefact,Arctic/coastal
b54,маниока,1,artefact,Trop. Moist — manioc
b57,северное,1,direction,Northern
b57,аляски,1,region,Tundra/Boreal
b57,стрела,1,artefact,generic
b57,лук,1,artefact,"generic, ambiguous (also = onion)"
b57a,аляски,1,region,Tundra/Boreal
b57a,стрела,1,artefact,generic
b58,лук,2,artefact,"generic, ambiguous (also = onion)"
b5a,северный,1,direction,Northern
b5a,южный,1,direction,Southern
b5a,северного,1,direction,Northern
b5a,северное,1,direction,Northern
b5b,лук,2,artefact,"generic, ambiguous (also = onion)"
b5b,северный,1,direction,Northern
b5b,южный,1,direction,Southern
b5b,северного,1,direction,Northern
b5b,северное,1,direction,Northern
b5c,северного,1,direction,Northern
b5c,лук,1,artefact,"generic, ambiguous (also = onion)"
b5c,стрела,1,artefact,generic
b64,стрела,5,artefact,generic
b64,лук,2,artefact,"generic, ambiguous (also = onion)"
b64,азии,1,continent,?
b64,якутии,1,region,Boreal/Tundra
b64,аляски,1,region,Tundra/Boreal
b64a,стрела,1,artefact,generic
b64a,лук,1,artefact,"generic, ambiguous (also = onion)"
b64a,якутии,1,region,Boreal/Tundra
b64b,стрела,1,artefact,generic
b64b,азии,1,continent,?
b64b,якутии,1,region,Boreal/Tundra
b64b,аляски,1,region,Tundra/Boreal
b64c,стрела,3,artefact,generic
b64c,лук,1,artefact,"generic, ambiguous (also = onion)"
b64d,стрела,8,artefact,generic
b64d,нарты,1,artefact,Tundra/Boreal — sledge pl
b64d,лук,2,artefact,"generic, ambiguous (also = onion)"
b64d,азии,1,continent,?
b64d,якутии,1,region,Boreal/Tundra
b64d,аляски,1,region,Tundra/Boreal
b68,северного,1,direction,Northern
b68,карелии,1,region,Boreal
b68,алтая,1,mountain,Mountain/Steppe
b68a,кавказа,1,mountain,Mediterranean/Mountain
b68a,алтай,1,mountain,Mountain/Steppe
b68a,северная,1,direction,Northern
b69,якутия,1,region,Boreal/Tundra
b69,стрела,1,artefact,generic
b69,южный,1,direction,Southern
b69,северный,1,direction,Northern
b69a,алтай,1,mountain,Mountain/Steppe
b70,якутии,1,region,Boreal/Tundra
b71,северное,28,direction,Northern
b71,аляски,1,region,Tundra/Boreal
b71,северного,2,direction,Northern
b72,лук,2,artefact,"generic, ambiguous (also = onion)"
b75a,южный,1,direction,Southern
b75a,лук,1,artefact,"generic, ambiguous (also = onion)"
b75b,лук,1,artefact,"generic, ambiguous (also = onion)"
b76,гарпун,2,artefact,Arctic/coastal — harpoon
b77,ямса,1,artefact,Trop. Moist
b77,ямс,3,artefact,Trop. Moist — yam
b77,южный,2,direction,Southern
b77,северное,1,direction,Northern
b77,южное,2,direction,Southern
b77,лук,3,artefact,"generic, ambiguous (also = onion)"
b77,стрела,2,artefact,generic
b77,северный,1,direction,Northern
b77,северная,1,direction,Northern
b77,гарпун,1,artefact,Arctic/coastal — harpoon
b77b,ямса,1,artefact,Trop. Moist
b77b,ямс,3,artefact,Trop. Moist — yam
b77b1,ямса,1,artefact,Trop. Moist
b77b1,ямс,3,artefact,Trop. Moist — yam
b78,альпы,1,mountain,Mediterranean
b78,южный,2,direction,Southern
b79,южный,1,direction,Southern
b79,северный,1,direction,Northern
b79a1,амур,1,river,Boreal
b7b,южное,1,direction,Southern
b7b,австралии,2,region,Desert/Savanna (Aus)
b7b,стрела,1,artefact,generic
b7b,южный,1,direction,Southern
b7b,маниока,1,artefact,Trop. Moist — manioc
b7d,маниока,4,artefact,Trop. Moist — manioc
b7d,маис,1,artefact,Trop./Temp. — maize
b8,лук,1,artefact,"generic, ambiguous (also = onion)"
b8,гарпун,1,artefact,Arctic/coastal — harpoon
b8,южный,1,direction,Southern
b80,лук,1,artefact,"generic, ambiguous (also = onion)"
b81,лук,10,artefact,"generic, ambiguous (also = onion)"
b81,сибири,2,region,Tundra/Boreal
b81,якутии,1,region,Boreal/Tundra
b82,аляски,2,region,Tundra/Boreal
b82,лук,1,artefact,"generic, ambiguous (also = onion)"
b82,гренландии,1,region,Tundra
b82,ямс,1,artefact,Trop. Moist — yam
b82,ямса,1,artefact,Trop. Moist
b83,лук,4,artefact,"generic, ambiguous (also = onion)"
b84,лук,2,artefact,"generic, ambiguous (also = onion)"
b85,южный,12,direction,Southern
b85,северный,3,direction,Northern
b85a,северный,1,direction,Northern
b85a,южный,3,direction,Southern
b85b,стрела,1,artefact,generic
b85b,лук,1,artefact,"generic, ambiguous (also = onion)"
b85b,северный,1,direction,Northern
b86,африке,1,region,Trop. Savanna/Moist
b86,замбези,1,river,Trop. Savanna
b86,нарты,2,artefact,Tundra/Boreal — sledge pl
b87,северная,3,direction,Northern
b87,полярная,3,climate,Arctic
b87,азии,1,continent,?
b87,северный,1,direction,Northern
b87,стрела,7,artefact,generic
b87,лук,1,artefact,"generic, ambiguous (also = onion)"
b87a,полярная,2,climate,Arctic
b87a,амура,1,river,Boreal
b9,южный,1,direction,Southern
b9,северный,1,direction,Northern
b9,гарпуном,1,artefact,Arctic/coastal
b9,стрела,1,artefact,generic
b90,лук,1,artefact,"generic, ambiguous (also = onion)"
b91,лук,1,artefact,"generic, ambiguous (also = onion)"
b91,южный,4,direction,Southern
b92,южный,2,direction,Southern
b93a,южный,1,direction,Southern
b97,аляски,1,region,Tundra/Boreal
b97,лук,1,artefact,"generic, ambiguous (also = onion)"
b97a,аляски,1,region,Tundra/Boreal
b97a,лук,1,artefact,"generic, ambiguous (also = onion)"
b99,маниока,2,artefact,Trop. Moist — manioc
b99,ямс,1,artefact,Trop. Moist — yam
c1,маниока,3,artefact,Trop. Moist — manioc
c1,стрела,1,artefact,generic
c10a,лук,1,artefact,"generic, ambiguous (also = onion)"
c12b,лук,1,artefact,"generic, ambiguous (also = onion)"
c12b,стрела,4,artefact,generic
c12b,аляска,1,region,Tundra/Boreal
c12b,гарпун,1,artefact,Arctic/coastal — harpoon
c13,маниока,4,artefact,Trop. Moist — manioc
c13,северное,1,direction,Northern
c13,стрела,1,artefact,generic
c14,маниока,1,artefact,Trop. Moist — manioc
c16,нарта,4,artefact,Tundra/Boreal — sledge
c19,пирогу,1,artefact,Trop.
c19,лук,4,artefact,"generic, ambiguous (also = onion)"
c19,нарта,2,artefact,Tundra/Boreal — sledge
c19,нарты,2,artefact,Tundra/Boreal — sledge pl
c19,стрела,1,artefact,generic
c19,камчатки,1,region,Boreal/Tundra
c19,аляски,2,region,Tundra/Boreal
c19,маниока,1,artefact,Trop. Moist — manioc
c19,южный,1,direction,Southern
c19a,нарты,1,artefact,Tundra/Boreal — sledge pl
c19a,аляски,1,region,Tundra/Boreal
c19a,лук,1,artefact,"generic, ambiguous (also = onion)"
c2,лук,6,artefact,"generic, ambiguous (also = onion)"
c2,северный,3,direction,Northern
c2,стрела,3,artefact,generic
c2,южный,2,direction,Southern
c2,северного,1,direction,Northern
c2,маис,1,artefact,Trop./Temp. — maize
c2,маниока,4,artefact,Trop. Moist — manioc
c2,гарпун,1,artefact,Arctic/coastal — harpoon
c25b,северного,1,direction,Northern
c25b,стрела,2,artefact,generic
c25c,полярная,4,climate,Arctic
c25c,енисея,1,river,Boreal
c25c,стрела,1,artefact,generic
c26,пироги,1,artefact,Trop.
c27,нарты,2,artefact,Tundra/Boreal — sledge pl
c3,сибирское,1,region,Tundra/Boreal
c3,сибирский,1,region,Tundra/Boreal
c31,нарта,1,artefact,Tundra/Boreal — sledge
c31,нарты,1,artefact,Tundra/Boreal — sledge pl
c33,кавказ,2,mountain,Mediterranean/Mountain
c33b,нарты,1,artefact,Tundra/Boreal — sledge pl
c35,кавказ,1,mountain,Mediterranean/Mountain
c37,маниока,1,artefact,Trop. Moist — manioc
c38,нарте,1,artefact,Tundra/Boreal
c38,нарта,2,artefact,Tundra/Boreal — sledge
c38,северного,1,direction,Northern
c38,лук,3,artefact,"generic, ambiguous (also = onion)"
c38,южный,1,direction,Southern
c38,северный,1,direction,Northern
c4,ямс,5,artefact,Trop. Moist — yam
c4,ямса,1,artefact,Trop. Moist
c4,маниока,4,artefact,Trop. Moist — manioc
c40,южное,1,direction,Southern
c5a,гималаи,1,mountain,Mountain
c5a,амур,1,river,Boreal
c5a,северная,1,direction,Northern
c6,лук,2,artefact,"generic, ambiguous (also = onion)"
c6,нарте,1,artefact,Tundra/Boreal
c6,нарты,1,artefact,Tundra/Boreal — sledge pl
c6,амур,1,river,Boreal
c6,аляска,1,region,Tundra/Boreal
c6c,лук,2,artefact,"generic, ambiguous (also = onion)"
c6c,нарте,1,artefact,Tundra/Boreal
c6c,нарты,1,artefact,Tundra/Boreal — sledge pl
c6c,амур,1,river,Boreal
c6c1,нарты,1,artefact,Tundra/Boreal — sledge pl
c6c1,лук,1,artefact,"generic, ambiguous (also = onion)"
c6d,лук,1,artefact,"generic, ambiguous (also = onion)"
c6d,нарте,1,artefact,Tundra/Boreal
c6d,нарты,1,artefact,Tundra/Boreal — sledge pl
c6d,амур,1,river,Boreal
c7,гималаи,1,mountain,Mountain
c7,гималаев,2,mountain,Mountain
c7,маниока,3,artefact,Trop. Moist — manioc
c8,ямс,3,artefact,Trop. Moist — yam
