word_en,hypernym_en,word_ru,hypernym_ru
camel,even-toed ungulate,верблюдов,парнокопытное
cardinal,finch,кардинал,вьюрковая птица
cardinal,finch,кардинала,вьюрковая птица
cardinal,finch,кардиналу,вьюрковая птица
cardinal,finch,кардиналом,вьюрковая птица
cat,feline,кошка,кошачье
cat,feline,кошки,кошачье
cat,feline,кошке,кошачье
cat,feline,кошку,кошачье
cat,feline,кошкой,кошачье
cattle,bovine,скот,полорогое
cattle,bovine,скота,полорогое
cattle,bovine,скоту,полорогое
cattle,bovine,скотом,полорогое
cattle,bovine,о скоте,полорогое
cereals,grass,злаки,злак
cereals,grass,злаков,злак
cereals,grass,злакам,злак
cereals,grass,злаками,злак
chameleon,lizard,хамелеон,ящерица
chameleon,lizard,хамелеона,ящерица
chameleon,lizard,хамелеону,ящерица
chameleon,lizard,хамелеоном,ящерица
chameleon,lizard,хамелеоны,ящерица
chameleon,lizard,хамелеонов,ящерица
chicken,domestic fowl,курица,домашняя птица
chicken,domestic fowl,курицы,домашняя птица
chicken,domestic fowl,курице,домашняя птица
chicken,domestic fowl,курицу,домашняя птица
chicken,domestic fowl,курицей,домашняя птица
chickens,domestic fowl,куры,домашняя птица
chickens,domestic fowl,кур,домашняя птица
chickens,domestic fowl,курам,домашняя птица
chickens,domestic fowl,курами,домашняя птица
chipmunk,squirrel,бурундук,беличье
chipmunk,squirrel,бурундука,беличье
chipmunk,squirrel,бурундуку,беличье
chipmunk,squirrel,бурундуком,беличье
chipmunk,squirrel,бурундуки,беличье
chipmunk,squirrel,бурундуков,беличье
cock,chicken,петух,курица
cock,chicken,петуха,курица
cock,chicken,петуху,курица
cock,chicken,петухом,курица
cock,chicken,петухи,курица
cock,chicken,петухов,курица
colts,foal,жеребята,жеребёнок
colts,foal,жеребят,жеребёнок
colts,foal,жеребятам,жеребёнок
colts,foal,жеребятами,жеребёнок
cornel,angiospermous tree,кизил,покрытосеменное дерево
cornel,angiospermous tree,кизила,покрытосеменное дерево
cornel,angiospermous tree,кизилу,покрытосеменное дерево
cornel,angiospermous tree,кизилом,покрытосеменное дерево
cow,cattle,корова,крупный рогатый скот
cow,cattle,коровы,крупный рогатый скот
cow,cattle,корове,крупный рогатый скот
cow,cattle,корову,крупный рогатый скот
cow,cattle,коровой,крупный рогатый скот
cows,bovine,коровы,полорогое
cows,bovine,коров,полорогое
cows,bovine,коровам,полорогое
cows,bovine,коровами,полорогое
coyote,wolf,койот,волк
coyote,wolf,койота,волк
coyote,wolf,койоту,волк
coyote,wolf,койотом,волк
coyote,wolf,койоты,волк
coyote,wolf,койотов,волк
crab,decapod crustacean,краб,десятиногое ракообразное
crab,decapod crustacean,краба,десятиногое ракообразное
crab,decapod crustacean,крабу,десятиногое ракообразное
crab,decapod crustacean,крабом,десятиногое ракообразное
crab,decapod crustacean,крабы,десятиногое ракообразное
crab,decapod crustacean,крабов,десятиногое ракообразное
crane,wading bird,журавль,болотная птица
crane,wading bird,журавля,болотная птица
crane,wading bird,журавлю,болотная птица
crane,wading bird,журавлём,болотная птица
crane,wading bird,журавли,болотная птица
crane,wading bird,журавлей,болотная птица
creature,organism,существо,организм
creature,organism,существа,организм
creature,organism,существу,организм
creature,organism,существом,организм
creatures,organism,существа,организм
creatures,organism,существ,организм
creatures,organism,существам,организм
creatures,organism,существами,организм
crocodile,crocodilian reptile,крокодил,крокодиловая рептилия
crocodile,crocodilian reptile,крокодила,крокодиловая рептилия
crocodile,crocodilian reptile,крокодилу,крокодиловая рептилия
crocodile,crocodilian reptile,крокодилом,крокодиловая рептилия
crocodile,crocodilian reptile,крокодилы,крокодиловая рептилия
crocodile,crocodilian reptile,крокодилов,крокодиловая рептилия
crops,plant,посевы,растение
crops,plant,посевов,растение
crops,plant,посевам,растение
crops,plant,посевами,растение
crow,corvine bird,ворона,врановая птица
crow,corvine bird,вороны,врановая птица
crow,corvine bird,вороне,врановая птица
crow,corvine bird,ворону,врановая птица
crow,corvine bird,вороной,врановая птица
cuckoo,cuculiform bird,кукушка,кукушкообразная птица
cuckoo,cuculiform bird,кукушки,кукушкообразная птица
cuckoo,cuculiform bird,кукушке,кукушкообразная птица
cuckoo,cuculiform bird,кукушку,кукушкообразная птица
cuckoo,cuculiform bird,кукушкой,кукушкообразная птица
deer,ruminant,олень,жвачное
deer,ruminant,оленя,жвачное
deer,ruminant,оленю,жвачное
deer,ruminant,оленем,жвачное
deer,ruminant,олени,жвачное
deer,ruminant,оленей,жвачное
dipper,duck,оляпка,утка
dipper,duck,оляпки,утка
dipper,duck,оляпке,утка
dipper,duck,оляпку,утка
dipper,duck,оляпкой,утка
diver,gaviiform seabird,гагара,гагарообразная птица
diver,gaviiform seabird,гагары,гагарообразная птица
diver,gaviiform seabird,гагаре,гагарообразная птица
diver,gaviiform seabird,гагару,гагарообразная птица
diver,gaviiform seabird,гагарой,гагарообразная птица
doe,placental,лань,плацентарное млекопитающее
doe,placental,лани,плацентарное млекопитающее
doe,placental,ланью,плацентарное млекопитающее
does,placental,лани,плацентарное млекопитающее
does,placental,ланей,плацентарное млекопитающее
does,placental,ланям,плацентарное млекопитающее
does,placental,ланями,плацентарное млекопитающее
dog,canine,собака,псовое
dog,canine,собаки,псовое
dog,canine,собаке,псовое
dog,canine,собаку,псовое
dog,canine,собакой,псовое
dogs,canine,собаки,псовое
dogs,canine,собак,псовое
dogs,canine,собакам,псовое
dogs,canine,собаками,псовое
donkey,ass,осёл,осёл
donkey,ass,осла,осёл
donkey,ass,ослу,осёл
donkey,ass,ослом,осёл
donkey,ass,ослы,осёл
donkey,ass,ослов,осёл
dove,pigeon,голубь,голубь
dove,pigeon,голубя,голубь
dove,pigeon,голубю,голубь
dove,pigeon,голубем,голубь
dove,pigeon,голуби,голубь
dove,pigeon,голубей,голубь
dragon,agamid,дракон,агамовая ящерица
dragon,agamid,дракона,агамовая ящерица
dragon,agamid,дракону,агамовая ящерица
dragon,agamid,драконом,агамовая ящерица
dragon,agamid,драконы,агамовая ящерица
dragon,agamid,драконов,агамовая ящерица
duck,anseriform bird,утка,гусеобразная птица
duck,anseriform bird,утки,гусеобразная птица
duck,anseriform bird,утке,гусеобразная птица
duck,anseriform bird,утку,гусеобразная птица
duck,anseriform bird,уткой,гусеобразная птица
ducks,anseriform bird,утки,гусеобразная птица
ducks,anseriform bird,уток,гусеобразная птица
ducks,anseriform bird,уткам,гусеобразная птица
ducks,anseriform bird,утками,гусеобразная птица
eagles,bird of prey,орлы,хищная птица
eagles,bird of prey,орлов,хищная птица
eagles,bird of prey,орлам,хищная птица
eagles,bird of prey,орлами,хищная птица
eel,soft-finned fish,угорь,мягкопёрая рыба
eel,soft-finned fish,угря,мягкопёрая рыба
eel,soft-finned fish,угрю,мягкопёрая рыба
eel,soft-finned fish,угрём,мягкопёрая рыба
eel,soft-finned fish,угри,мягкопёрая рыба
eel,soft-finned fish,угрей,мягкопёрая рыба
elder,shrub,бузина,кустарник
elder,shrub,бузины,кустарник
elder,shrub,бузине,кустарник
elder,shrub,бузину,кустарник
elder,shrub,бузиной,кустарник
elephant,pachyderm,слон,толстокожее животное
elephant,pachyderm,слона,толстокожее животное
elephant,pachyderm,слону,толстокожее животное
elephant,pachyderm,слоном,толстокожее животное
elephant,pachyderm,слоны,толстокожее животное
elephant,pachyderm,слонов,толстокожее животное
elk,deer,лось,олень
elk,deer,лося,олень
elk,deer,лосю,олень
elk,deer,лосем,олень
elk,deer,лоси,олень
elk,deer,лосей,олень
embryos,plant,зародыши,растение
embryos,plant,зародышей,растение
embryos,plant,зародышам,растение
embryos,plant,зародышами,растение
feline,carnivore,кошачье,хищник
feline,carnivore,кошачьего,хищник
feline,carnivore,кошачьему,хищник
feline,carnivore,кошачьим,хищник
feline,carnivore,кошачьи,хищник
feline,carnivore,кошачьих,хищник
female,animal,самка,животное
female,animal,самки,животное
female,animal,самке,животное
female,animal,самку,животное
female,animal,самкой,животное
females,animal,самки,животное
females,animal,самок,животное
females,animal,самкам,животное
females,animal,самками,животное
fish,aquatic vertebrate,рыба,водное позвоночное
fish,aquatic vertebrate,рыбы,водное позвоночное
fish,aquatic vertebrate,рыбе,водное позвоночное
fish,aquatic vertebrate,рыбу,водное позвоночное
fish,aquatic vertebrate,рыбой,водное позвоночное
fisher,marten,илька,куница
fisher,marten,ильки,куница
fisher,marten,ильке,куница
fisher,marten,ильку,куница
fisher,marten,илькой,куница
fishes,aquatic vertebrate,рыбы,водное позвоночное
fishes,aquatic vertebrate,рыб,водное позвоночное
fishes,aquatic vertebrate,рыбам,водное позвоночное
fishes,aquatic vertebrate,рыбами,водное позвоночное
flea,insect,блоха,насекомое
flea,insect,блохи,насекомое
flea,insect,блохе,насекомое
flea,insect,блоху,насекомое
flea,insect,блохой,насекомое
fleas,insect,блохи,насекомое
fleas,insect,блох,насекомое
fleas,insect,блохам,насекомое
fleas,insect,блохами,насекомое
flies,dipterous insect,мухи,двукрылое насекомое
flies,dipterous insect,мух,двукрылое насекомое
flies,dipterous insect,мухам,двукрылое насекомое
flies,dipterous insect,мухами,двукрылое насекомое
flower,angiosperm,цветок,покрытосеменное растение
flower,angiosperm,цветка,покрытосеменное растение
flower,angiosperm,цветку,покрытосеменное растение
flower,angiosperm,цветком,покрытосеменное растение
flower,angiosperm,о цветке,покрытосеменное растение
flowers,angiosperm,цветы,покрытосеменное растение
flowers,angiosperm,цветов,покрытосеменное растение
flowers,angiosperm,цветам,покрытосеменное растение
flowers,angiosperm,цветами,покрытосеменное растение
fly,dipterous insect,муха,двукрылое насекомое
fly,dipterous insect,мухи,двукрылое насекомое
fly,dipterous insect,мухе,двукрылое насекомое
fly,dipterous insect,муху,двукрылое насекомое
fly,dipterous insect,мухой,двукрылое насекомое
fowl,gallinaceous bird,птица,куриная птица
fowl,gallinaceous bird,птицы,куриная птица
fowl,gallinaceous bird,птице,куриная птица
fowl,gallinaceous bird,птицу,куриная птица
fowl,gallinaceous bird,птицей,куриная птица
fox,canine,лиса,псовое
fox,canine,лисы,псовое
fox,canine,лисе,псовое
fox,canine,лису,псовое
fox,canine,лисой,псовое
foxes,canine,лисы,псовое
foxes,canine,лис,псовое
foxes,canine,лисам,псовое
foxes,canine,лисами,псовое
frog,amphibian,лягушка,земноводное
frog,amphibian,лягушки,земноводное
frog,amphibian,лягушке,земноводное
frog,amphibian,лягушку,земноводное
frog,amphibian,лягушкой,земноводное
frogs,amphibian,лягушки,земноводное
frogs,amphibian,лягушек,земноводное
frogs,amphibian,лягушкам,земноводное
frogs,amphibian,лягушками,земноводное
geese,anseriform bird,гуси,гусеобразная птица
geese,anseriform bird,гусей,гусеобразная птица
geese,anseriform bird,гусям,гусеобразная птица
geese,anseriform bird,гусями,гусеобразная птица
giant,animal,великан,животное
giant,animal,великана,животное
giant,animal,великану,животное
giant,animal,великаном,животное
giant,animal,великаны,животное
giant,animal,великанов,животное
giants,animal,великаны,животное
giants,animal,великанов,животное
giants,animal,великанам,животное
giants,animal,великанами,животное
goat,bovid,коза,полорогое
goat,bovid,козы,полорогое
goat,bovid,козе,полорогое
goat,bovid,козу,полорогое
goat,bovid,козой,полорогое
goose,anseriform bird,гусь,гусеобразная птица
goose,anseriform bird,гуся,гусеобразная птица
goose,anseriform bird,гусю,гусеобразная птица
goose,anseriform bird,гусем,гусеобразная птица
goose,anseriform bird,о гусе,гусеобразная птица
gourd,vine,тыква,лиана
gourd,vine,тыквы,лиана
gourd,vine,тыкве,лиана
gourd,vine,тыкву,лиана
gourd,vine,тыквой,лиана
grass,gramineous plant,трава,злаковое растение
grass,gramineous plant,травы,злаковое растение
grass,gramineous plant,траве,злаковое растение
grass,gramineous plant,траву,злаковое растение
grass,gramineous plant,травой,злаковое растение
grasshopper,orthopterous insect,кузнечик,прямокрылое насекомое
grasshopper,orthopterous insect,кузнечика,прямокрылое насекомое
grasshopper,orthopterous insect,кузнечику,прямокрылое насекомое
grasshopper,orthopterous insect,кузнечиком,прямокрылое насекомое
grasshopper,orthopterous insect,кузнечики,прямокрылое насекомое
grasshopper,orthopterous insect,кузнечиков,прямокрылое насекомое
grouse,game bird,тетерев,дичь
grouse,game bird,тетерева,дичь
grouse,game bird,тетереву,дичь
grouse,game bird,тетеревом,дичь
grouse,game bird,тетеревов,дичь
hare,leporid,заяц,зайцевое
hare,leporid,зайца,зайцевое
hare,leporid,зайцу,зайцевое
hare,leporid,зайцем,зайцевое
hare,leporid,зайцы,зайцевое
hare,leporid,зайцев,зайцевое
hawk,bird of prey,ястреб,хищная птица
hawk,bird of prey,ястреба,хищная птица
hawk,bird of prey,ястребу,хищная птица
hawk,bird of prey,ястребом,хищная птица
hawk,bird of prey,ястребы,хищная птица
hawk,bird of prey,ястребов,хищная птица
hedgehog,rodent,ёж,грызун
hedgehog,rodent,ежа,грызун
hedgehog,rodent,ежу,грызун
hedgehog,rodent,ежом,грызун
hedgehog,rodent,ежи,грызун
hedgehog,rodent,ежей,грызун
hen,chicken,курица,курица
hen,chicken,курицы,курица
hen,chicken,курице,курица
hen,chicken,курицу,курица
hen,chicken,курицей,курица
heron,wading bird,цапля,болотная птица
heron,wading bird,цапли,болотная птица
heron,wading bird,цапле,болотная птица
heron,wading bird,цаплю,болотная птица
heron,wading bird,цаплей,болотная птица
horse,equine,лошадь,лошадиное
horse,equine,лошади,лошадиное
horse,equine,лошадью,лошадиное
horse,equine,о лошади,лошадиное
horses,equine,лошади,лошадиное
horses,equine,лошадей,лошадиное
horses,equine,лошадям,лошадиное
horses,equine,лошадями,лошадиное
human,hominid,человек,гоминид
human,hominid,человека,гоминид
human,hominid,человеку,гоминид
human,hominid,человеком,гоминид
human,hominid,о человеке,гоминид
humanity,group,человечество,группа
humanity,group,человечества,группа
humanity,group,человечеству,группа
humanity,group,человечеством,группа
humans,group,люди,группа
humans,group,людей,группа
humans,group,людям,группа
humans,group,людьми,группа
hyena,canine,гиена,псовое
hyena,canine,гиены,псовое
hyena,canine,гиене,псовое
hyena,canine,гиену,псовое
hyena,canine,гиеной,псовое
insect,arthropod,насекомое,членистоногое
insect,arthropod,насекомого,членистоногое
insect,arthropod,насекомому,членистоногое
insect,arthropod,насекомым,членистоногое
insect,arthropod,о насекомом,членистоногое
insects,arthropod,насекомые,членистоногое
insects,arthropod,насекомых,членистоногое
insects,arthropod,насекомым,членистоногое
insects,arthropod,насекомыми,членистоногое
jackal,canine,шакал,псовое
jackal,canine,шакала,псовое
jackal,canine,шакалу,псовое
jackal,canine,шакалом,псовое
jackal,canine,шакалы,псовое
jackal,canine,шакалов,псовое
jaguar,big cat,ягуар,крупная кошка
jaguar,big cat,ягуара,крупная кошка
jaguar,big cat,ягуару,крупная кошка
jaguar,big cat,ягуаром,крупная кошка
jaguar,big cat,ягуары,крупная кошка
jaguar,big cat,ягуаров,крупная кошка
kids,goat,козлята,коза
kids,goat,козлят,коза
kids,goat,козлятам,коза
kids,goat,козлятами,коза
leopard,big cat,леопард,крупная кошка
leopard,big cat,леопарда,крупная кошка
leopard,big cat,леопарду,крупная кошка
leopard,big cat,леопардом,крупная кошка
leopard,big cat,леопарды,крупная кошка
leopard,big cat,леопардов,крупная кошка
lice,insect,вши,насекомое
lice,insect,вшей,насекомое
lice,insect,вшам,насекомое
lice,insect,вшами,насекомое
lion,big cat,лев,крупная кошка
lion,big cat,льва,крупная кошка
lion,big cat,льву,крупная кошка
lion,big cat,львом,крупная кошка
lion,big cat,львы,крупная кошка
lion,big cat,львов,крупная кошка
lizard,saurian,ящерица,ящер
lizard,saurian,ящерицы,ящер
lizard,saurian,ящерице,ящер
lizard,saurian,ящерицу,ящер
lizard,saurian,ящерицей,ящер
loon,gaviiform seabird,гагара,гагарообразная птица
loon,gaviiform seabird,гагары,гагарообразная птица
loon,gaviiform seabird,гагаре,гагарообразная птица
loon,gaviiform seabird,гагару,гагарообразная птица
loon,gaviiform seabird,гагарой,гагарообразная птица
louse,insect,вошь,насекомое
louse,insect,вши,насекомое
louse,insect,вошью,насекомое
male,animal,самец,животное
male,animal,самца,животное
male,animal,самцу,животное
male,animal,самцом,животное
male,animal,о самце,животное
males,animal,самцы,животное
males,animal,самцов,животное
males,animal,самцам,животное
males,animal,самцами,животное
mammal,vertebrate,млекопитающее,позвоночное
mammal,vertebrate,млекопитающего,позвоночное
mammal,vertebrate,млекопитающему,позвоночное
mammal,vertebrate,млекопитающим,позвоночное
mammals,vertebrate,млекопитающие,позвоночное
mammals,vertebrate,млекопитающих,позвоночное
mammals,vertebrate,млекопитающим,позвоночное
mammals,vertebrate,млекопитающими,позвоночное
man,hominid,мужчина,гоминид
man,hominid,мужчины,гоминид
man,hominid,мужчине,гоминид
man,hominid,мужчину,гоминид
man,hominid,мужчиной,гоминид
mare,horse,кобыла,лошадь
mare,horse,кобылы,лошадь
mare,horse,кобыле,лошадь
mare,horse,кобылу,лошадь
mare,horse,кобылой,лошадь
melon,gourd,дыня,тыква
melon,gourd,дыни,тыква
melon,gourd,дыне,тыква
melon,gourd,дыню,тыква
melon,gourd,дыней,тыква
men,hominid,мужчины,гоминид
men,hominid,мужчин,гоминид
men,hominid,мужчинам,гоминид
men,hominid,мужчинами,гоминид
mice,rodent,мыши,грызун
mice,rodent,мышей,грызун
mice,rodent,мышам,грызун
mice,rodent,мышами,грызун
mole,insectivore,крот,насекомоядное
mole,insectivore,крота,насекомоядное
mole,insectivore,кроту,насекомоядное
mole,insectivore,кротом,насекомоядное
mole,insectivore,кроты,насекомоядное
mole,insectivore,кротов,насекомоядное
monkey,primate,обезьяна,примат
monkey,primate,обезьяны,примат
monkey,primate,обезьяне,примат
monkey,primate,обезьяну,примат
monkey,primate,обезьяной,примат
monster,fetus,чудовище,зародыш
monster,fetus,чудовища,зародыш
monster,fetus,чудовищу,зародыш
monster,fetus,чудовищем,зародыш
monsters,fetus,чудовища,зародыш
monsters,fetus,чудовищ,зародыш
monsters,fetus,чудовищам,зародыш
monsters,fetus,чудовищами,зародыш
mosquitoes,dipterous insect,комары,двукрылое насекомое
mosquitoes,dipterous insect,комаров,двукрылое насекомое
mosquitoes,dipterous insect,комарам,двукрылое насекомое
mosquitoes,dipterous insect,комарами,двукрылое насекомое
mouse,rodent,мышь,грызун
mouse,rodent,мыши,грызун
mouse,rodent,мышью,грызун
nestling,young bird,птенец,птенец
nestling,young bird,птенца,птенец
nestling,young bird,птенцу,птенец
nestling,young bird,птенцом,птенец
nestling,young bird,о птенце,птенец
nestlings,young bird,птенцы,птенец
nestlings,young bird,птенцов,птенец
nestlings,young bird,птенцам,птенец
nestlings,young bird,птенцами,птенец
opossum,marsupial,опоссум,сумчатое
opossum,marsupial,опоссума,сумчатое
opossum,marsupial,опоссуму,сумчатое
opossum,marsupial,опоссумом,сумчатое
opossum,marsupial,опоссумы,сумчатое
opossum,marsupial,опоссумов,сумчатое
owl,bird of prey,сова,хищная птица
owl,bird of prey,совы,хищная птица
owl,bird of prey,сове,хищная птица
owl,bird of prey,сову,хищная птица
owl,bird of prey,совой,хищная птица
oyster,bivalve,устрица,двустворчатый моллюск
oyster,bivalve,устрицы,двустворчатый моллюск
oyster,bivalve,устрице,двустворчатый моллюск
oyster,bivalve,устрицу,двустворчатый моллюск
oyster,bivalve,устрицей,двустворчатый моллюск
palm,tree,пальма,дерево
palm,tree,пальмы,дерево
palm,tree,пальме,дерево
palm,tree,пальму,дерево
palm,tree,пальмой,дерево
parakeet,parrot,попугайчик,попугай
parakeet,parrot,попугайчика,попугай
parakeet,parrot,попугайчику,попугай
parakeet,parrot,попугайчиком,попугай
parakeet,parrot,попугайчики,попугай
parakeet,parrot,попугайчиков,попугай
parrot,bird,попугай,птица
parrot,bird,попугая,птица
parrot,bird,попугаю,птица
parrot,bird,попугаем,птица
parrot,bird,попугаи,птица
parrot,bird,попугаев,птица
partridge,game bird,куропатка,дичь
partridge,game bird,куропатки,дичь
partridge,game bird,куропатке,дичь
partridge,game bird,куропатку,дичь
partridge,game bird,куропаткой,дичь
pet,animal,питомец,животное
pet,animal,питомца,животное
pet,animal,питомцу,животное
pet,animal,питомцем,животное
pet,animal,о питомце,животное
pets,animal,питомцы,животное
pets,animal,питомцев,животное
pets,animal,питомцам,животное
pets,animal,питомцами,животное
pig,swine,свинья,свинья
pig,swine,свиньи,свинья
pig,swine,свинье,свинья
pig,swine,свинью,свинья
pig,swine,свиньёй,свинья
pigs,swine,свиньи,свинья
pigs,swine,свиней,свинья
pigs,swine,свиньям,свинья
pigs,swine,свиньями,свинья
pike,percoid fish,щука,окунеобразная рыба
pike,percoid fish,щуки,окунеобразная рыба
pike,percoid fish,щуке,окунеобразная рыба
pike,percoid fish,щуку,окунеобразная рыба
pike,percoid fish,щукой,окунеобразная рыба
plant,organism,растение,организм
plant,organism,растения,организм
plant,organism,растению,организм
plant,organism,растением,организм
plants,organism,растения,организм
plants,organism,растений,организм
plants,organism,растениям,организм
plants,organism,растениями,организм
porcupine,rodent,дикобраз,грызун
porcupine,rodent,дикобраза,грызун
porcupine,rodent,дикобразу,грызун
porcupine,rodent,дикобразом,грызун
porcupine,rodent,дикобразы,грызун
porcupine,rodent,дикобразов,грызун
predator,animal,хищник,животное
predator,animal,хищника,животное
predator,animal,хищнику,животное
predator,animal,хищником,животное
predator,animal,о хищнике,животное
predators,animal,хищники,животное
predators,animal,хищников,животное
predators,animal,хищникам,животное
predators,animal,хищниками,животное
prey,animal,добыча,животное
prey,animal,добычи,животное
prey,animal,добыче,животное
prey,animal,добычу,животное
prey,animal,добычей,животное
puma,wildcat,пума,дикая кошка
